backend,fwd_ms,delta_ms,speedup,peak_gb,delta_peak_gb,ptm,d_ptm,d_iptm,max_d_plddt,max_d_pae,accuracy_verdict
none,455.45,0.0,1.0,24.9839,0.0,0.7393277287483215,0.0,0.0,0.0,0.0,PASS
fused,420.79,-34.66,1.082,25.0975,0.1136,0.7394658923149109,0.00013816356658935547,0.0,0.00754857063293457,0.60205078125,PASS
