target,backend,seq_len,dtype,chunk,eager_ms_median,graph_ms_median,speedup_vs_baseline,peak_gb,delta_peak_gb,max_abs_err,max_rel_err,accuracy_verdict,graph_vs_eager_ok,graph_status
adaln,none,256,float32,64,0.0625,0.043,,0.0239,,0.0,0.0,PASS,True,ok
adaln,none,512,float32,64,0.0952,0.0788,,0.0464,,0.0,0.0,PASS,True,ok
conditioned_transition,none,256,float32,64,0.1495,0.1198,,0.0824,,0.0,0.0,PASS,True,ok
conditioned_transition,none,512,float32,64,0.2611,0.2365,,0.1015,,0.0,0.0,PASS,True,ok
msa_pair_weighted_avg,none,256,float32,64,1.1858,1.1571,,0.3051,,0.0,0.0,PASS,True,ok
msa_pair_weighted_avg,none,512,float32,64,3.1288,3.0275,,0.706,,0.0,0.0,PASS,True,ok
opm,none,256,float32,64,2.7566,2.6854,,0.4643,,0.0,0.0,PASS,True,ok
opm,none,512,float32,64,10.1309,10.0495,,1.2778,,0.0,0.0,PASS,True,ok
